tahun,bulan,siap_jual,terjual,susut
2012,Januari,3270247185,3059563952,199255462
2012,Februari,3210175557,3018406130,180543347
2012,Maret,3413335354,3173010115,228391604
2012,April,3364140218,3113279802,239102340
2012,Mei,3550000438,3257896901,279692428
2012,Juni,3470833296,3243807362,214892339
2012,Juli,3565433195,3244020262,308942526
2012,Agustus,3140211048,2935628622,193581277
2012,September,3515422429,3227364369,275759400
2012,Oktober,3704912374,3404886734,287080719
2012,Nopember,3522433394,3381765940,128368793
2012,Desember,3521553457,3262417902,246845590
