nama_titik,lokasi_jalan,lokasi_kecamatan,lokasi_kotamadya,sarana,jenis_reklame,bentuk_reklame,surat_keputusan_reklame,tanggal_surat_keputusan_reklame
"Titik T1A","Jl. Bekasi Raya","Kecamatan Cakung"," Jakarta Timur","Taman","Billboard","Vertikal","SK 133 THN 2000"," 10 November 2003"
"Titik T1B","Jl. Bekasi Raya","Kecamatan Cakung"," Jakarta Timur","Taman","Billboard","Vertikal","SK 133 THN 2000"," 10 November 2003"
"Titik T2","Jl. DI Panjaitan dpn Perumnas","Kecamatan Jatinegara"," Jakarta Timur","Taman","Billboard","Vertikal","SK 14 THN 2005"," 20 Januari 2005"
"Titik T2A","Jl. Bekasi Raya","Kecamatan Cakung"," Jakarta Timur","Bahu Jalan","Billboard","Vertikal","SK 133 THN 2000"," 10 November 2003"
"Titik T2B","Jl. Raya Bekasi","Kecamatan Cakung"," Jakarta Timur","Bahu Jalan","Billboard","Vertikal","SK 133 THN 2000"," 10 November 2003"
"Titik T3A","Jl. Bekasi Raya","Kecamatan Cakung"," Jakarta Timur","Bahu Jalan","Billboard","Vertikal","SK 133 THN 2000"," 10 November 2003"
"Titik T3B","Jl. Bekasi Raya","Kecamatan Cakung"," Jakarta Timur","Bahu Jalan","Billboard","Vertikal","SK 133 THN 2000"," 10 November 2003"
"Titik T3C","Jl. Raya Bekasi","Kecamatan Cakung"," Jakarta Timur","Bahu Jalan","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik T4","Jl. MT Haryono","Kecamatan Jatinegara"," Jakarta Timur","Taman","Billboard","Vertikal","SK 14 THN 2005"," 20 Januari 2005"
"Titik T4A","Jl. Pemuda/Jl. Jend. A. Yani","Kecamatan Pulogadung"," Jakarta Timur","Bahu Jalan","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik T4B","Jl. Jend. A. Yani/Jl. Pemuda","Kecamatan Pulogadung"," Jakarta Timur","Bahu Jalan","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik T5A","Jl. DI Panjaitan/Jl. Basuki Rachmat","Kecamatan Jatinegara"," Jakarta Timur","Taman","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik T5B","Jl. DI Panjaitan/Jl. Basuki Rahmat","Kecamatan Jatinegara"," Jakarta Timur","Bahu Jalan","Billboard","Vertikal","SK 133 THN 2000"," 10 November 2003"
"Titik T6A","Jl. DI. Panjaitan/depan Swalayan","Kecamatan Jatinegara"," Jakarta Timur","Bahu Jalan","Billboard","Horizontal","SK 133 THN 2000"," 10 November 2003"
"Titik T7A","Jl. Kali Malang/Jl. Tarum Barat","Kecamatan Duren Sawit"," Jakarta Timur","Bahu Jalan","Billboard","Vertikal","SK 133 THN 2000"," 10 November 2003"
"Titik T7B","Jl. Kali Malang/Jl. Tarum Barat","Kecamatan Duren Sawit"," Jakarta Timur","Bahu Jalan","Billboard","Vertikal","SK 133 THN 2000"," 10 November 2003"
